Date,V_ED_ChangeOpenClose,P_ED_ChangeOpenClose,V_ED_ChangeClose,P_ED_ChangeClose,V_PD_ChangeOpenClose,P_PD_ChangeOpenClose,V_PD_ChangeClose,P_PD_ChangeClose,V_EP_ChangeOpenClose,P_EP_ChangeOpenClose,V_EP_ChangeClose,P_EP_ChangeClose
2024-02-19,0.00004661083221435547,0.004322036127800508,,,0.0,0.0,,,0.000050008296966552734,0.00584817129635277,,
2024-02-20,0.0,0.0,-0.0009530782699584961,-0.08844948223587015,-0.00006330013275146484,-0.005028499565806582,-0.0023494958877563477,-0.18664161571088875,0.0,0.0,0.0008400082588195801,0.09813180522622712
2024-02-21,0.0,0.0,0.0037752389907836914,0.34913408814971497,0.00009560585021972656,0.007571887376011524,0.003973722457885742,0.3147148301645488,0.0,0.0,0.00016999244689941406,0.019854987580538188
2024-02-22,0.0,0.0,0.0007253885269165039,0.06703895596824083,-0.00007987022399902344,-0.006319412139986864,0.001069188117980957,0.08459523505006294,0.0,0.0,-0.00003999471664428711,-0.0046715704928848014
2024-02-23,0.0,0.0,0.0005271434783935547,0.04869382288794673,0.0002244710922241211,0.017728726939944525,0.002560734748840332,0.20224683133135868,0.0,0.0,-0.0013099908828735352,-0.15324756824599936
2024-02-26,0.00004684925079345703,0.0043300422074445,-0.0005623102188110352,-0.05197152440843691,0.00016057491302490234,0.012672572066433631,0.0008987188339233398,0.07092688998429335,-0.00007998943328857422,-0.009368089550559271,-0.0010499954223632812,-0.12297188190957685
2024-02-27,0.0,0.0,0.0030878782272338867,0.2845726740800798,0.0,0.0,0.0011894702911376953,0.09377308379806364,0.00014001131057739258,0.016371762368991922,0.001569986343383789,0.1835811923368443
2024-02-28,0.0,0.0,-0.0006119012832641602,-0.05642341502472111,0.00009644031524658203,0.007605283349919558,-0.00028955936431884766,-0.022834651739128062,0.0,0.0,-0.0005300045013427734,-0.06200260896268212
2024-02-29,0.0,0.0,-0.0005995035171508789,-0.055310792984536956,0.00011229515075683594,0.008868734537968588,-0.0018627643585205078,-0.14711554765424326,0.00011998414993286133,0.014018477788303436,0.0012099742889404297,0.14136865330479867
2024-03-01,0.0,0.0,-0.0033845901489257812,-0.3132438189178878,-0.00017547607421875,-0.013896651209159706,-0.0037571191787719727,-0.2975412745645968,0.0,0.0,-0.00026994943618774414,-0.031545361205530115
2024-03-04,0.0,0.0,0.0037723779678344727,0.3479188799837634,-0.00009632110595703125,-0.00760753696010732,0.003484487533569336,0.2752082986929913,0.0,0.0,0.0006299614906311035,0.07356097772833343
2024-03-05,0.0,0.0,0.0012476444244384766,0.11493549786036139,0.00016105175018310547,0.012690877466619047,0.003165602684020996,0.24944948269879258,0.0,0.0,-0.0010899901390075684,-0.12744100182690757
2024-03-06,0.0,0.0,0.00008249282836914062,0.007598826749934581,-0.00001609325408935547,-0.0012666839873973388,0.001289963722229004,0.10153175872316003,0.0,0.0,-0.0008500218391418457,-0.09948292041282658
2024-03-07,0.0,0.0,0.004354357719421387,0.39949925605882236,-0.0000972747802734375,-0.007637529584897459,0.0030580759048461914,0.24010483632521387,0.0,0.0,0.001340031623840332,0.15658599351451769
2024-03-08,0.0,0.0,0.005060553550720215,0.4621449093351835,0.0001806020736694336,0.014094365826102878,0.008013725280761719,0.6253991077847788,0.0,0.0,-0.0013300180435180664,-0.15565779894821816
2024-03-11,0.0,0.0,-0.0007189512252807617,-0.06569991598777117,-0.00009906291961669922,-0.007705510413566149,0.0039539337158203125,0.30755279109165107,0.0,0.0,-0.0032199621200561523,-0.3782716803197475
2024-03-12,0.0,0.0,-0.0011603832244873047,-0.10615185669782884,0.0001266002655029297,0.009876340222623126,-0.0035316944122314453,-0.2755145531407087,0.0,0.0,0.0013799667358398438,0.1618520482687102
2024-03-13,0.0,0.0,-0.00035834312438964844,-0.03279197842318365,-0.0000654458999633789,-0.005114335202099616,-0.0023900270462036133,-0.18677105003077452,0.0,0.0,0.0013099908828735352,0.1534090909090909
2024-03-14,0.0,0.0,0.0027534961700439453,0.2513391223957761,0.00001633167266845703,0.0012757159187370823,0.0006223917007446289,0.04861688183741829,0.0,0.0,0.0016300082206726074,0.1905216805061424
2024-03-15,0.0,0.0,-0.007189631462097168,-0.6606048876064757,-0.00006496906280517578,-0.00509701775829044,-0.005629420280456543,-0.44164489834816406,0.0,0.0,-0.001699984073638916,-0.19909633537369673
2024-03-18,0.0,0.0,-0.00008296966552734375,-0.007624082768619932,-0.00004851818084716797,-0.0038107636564380276,-0.0014442205429077148,-0.11343341940478306,0.0,0.0,0.0009099841117858887,0.106460775093297
2024-03-19,0.0,0.0,-0.0008637905120849609,-0.0794367641807944,0.0,0.0,-0.00042128562927246094,-0.033101253023861285,0.0,0.0,-0.0005400180816650391,-0.06321768381431223
2024-03-20,0.0,0.0,-0.001063227653503418,-0.09787329956252754,0.00016176700592041016,0.012719740071127436,-0.000777125358581543,-0.0611053688457478,0.0,0.0,-0.00020998716354370117,-0.02458837332171964
2024-03-21,0.0,0.0,0.007390379905700684,0.6757097731971617,0.0,0.0,0.007895231246948242,0.6168938949952143,0.0,0.0,0.0004000067710876465,0.04681672434869398
2024-03-22,0.0,0.0,-0.007484793663024902,-0.6890576283388626,0.000048041343688964844,0.0037943053408378354,-0.013644814491271973,-1.0776674531455075,0.0,0.0,0.003390014171600342,0.39519866454467273
2024-03-25,0.0,0.0,-0.005482316017150879,-0.5072677418241144,0.0,0.0,-0.00639653205871582,-0.5077439516272115,0.0,0.0,0.000050008296966552734,0.005829491878836895
